ID,Date,Time,Coordinates,Angular Width,Central Pos. Angle,Linear Speed,Mass,Potential Energy,Kinetic Energy,Mass estimation time
89,12/11/2010,19:30,(-24.3; 191.6),25,116.5,613.5,9.92E+14,1.58E+30,1.87E+30,22:54
90,12/11/2010,00:15,(-22.0; 190.0),38,117,562.1,2.69E+14,4.07E+29,4.25E+29,1:39
91,12/11/2010,01:45,(-23.9; 188.8),36,117,509,5.96E+14,8.78E+29,7.72E+29,3:54
92,12/11/2010,04:00,(-21.0; 189.9),44,119,755.4,1.36E+15,2.14E+30,3.88E+30,16:39
93,12/11/2010,08:10,(-23.6; 192.5),46,116,687.9,6.82E+14,1.13E+30,1.61E+30,11:24
94,12/11/2010,09:15,(-23.9; 189.5),23,126.5,261.2,2.15E+14,2.87E+29,7.33E+28,10:24
95,12/11/2010,11:45,(-20.5; 190.2),26,116,219.8,1.16E+14,1.53E+29,2.80E+28,13:39
96,12/11/2010,13:45,(-21.6; 189.6),39,115.5,571.9,5.19E+14,8.56E+29,8.49E+29,16:54
97,13/11/2010,02:00,(-20.1; 191.5),20,112,85.3,1.06E+13,1.42E+28,3.86E+26,3:39
98,13/11/2010,09:30,(-21.9; 193.8),27,117.5,177.6,1.18E+14,1.49E+29,1.86E+28,11:39
99,13/11/2010,11:45,(-22.2; 189.6),40,113,340.6,5.84E+14,8.58E+29,3.39E+29,14:24
100,13/11/2010,14:15,(-23.3; 195.9),9,99.5,422.5,1.20E+14,1.78E+29,1.07E+29,15:54
101,14/11/2010,00:00,(-22.9; 194.8),27,253.5,723.8,2.96E+14,4.99E+29,7.75E+29,2:54
102,14/11/2010,03:15,(-21.2; 194.6),37,258.5,469.1,5.18E+13,8.16E+28,5.70E+28,5:39
103,14/11/2010,17:30,(-21.8; 190.8),22,241,212.4,5.85E+13,9.60E+28,1.32E+28,20:24
104,15/11/2010,14:45,(-22.2; 189.7),43,258.5,474.8,4.81E+14,7.71E+29,5.42E+29,17:54
105,17/11/2010,02:30,(-22.6; 195.2),9,239.5,316.5,2.68E+13,3.18E+28,1.34E+28,3:11
106,17/11/2010,08:15,(-22.7; 194.9),37,248.5,641.1,1.94E+14,2.65E+29,3.99E+29,9:23
107,17/11/2010,14:25,(-22.5; 195.3),7,248.5,,2.03E+13,2.61E+28,#VALUE!,15:35
108,17/11/2010,18:20,(-21.4; 195.7),34,238,678.9,1.29E+14,1.68E+29,2.97E+29,19:11
