T_REC,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRUSI,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2010.11.07_04:12:00_TAI,   2.8312640e+22,       30.428000,       102.03100,       104.86900,       40.553000,      0.11961622,   3.4009980e+13,    0.0065077400,    0.0020692100,       1631.8400,       89.355000,   2.6702220e+12,       2576.7950,   1.4777650e+23,       25.704000,       9.5620000,   7.3397880e+18,     0.017000000,     0.092000000,     0.092000000,     0.088000000,     0.027029270,   1.5501000e+11,   0.00060431000,   0.00019215000,   1.5501000e+11,       8.2970000,   6.0338080e+11,       2.6948660,   1.5454770e+20,    0.0010000000
2010.11.07_04:24:00_TAI,   2.8179000e+22,       30.394000,       101.92000,       104.82400,       40.471000,      0.12583795,   3.3337180e+13,    0.0065328000,    0.0020705900,       1595.7820,       89.166000,   2.8014510e+12,       2538.8760,   1.4520400e+23,       25.598000,       9.2260000,   7.1946870e+18,     0.016000000,     0.090000000,     0.090000000,     0.086000000,     0.026539820,   1.5178710e+11,   0.00060323000,   0.00019120000,   1.5178710e+11,       8.2340000,   5.9083930e+11,       2.6150470,   1.4956030e+20,    0.0010000000
2010.11.07_04:36:00_TAI,   2.8229400e+22,       30.685000,       100.65000,       103.55800,       39.711000,     0.095352590,   3.3451900e+13,    0.0055884600,    0.0017419800,       1589.2600,       76.093000,   2.1531980e+12,       2488.0480,   1.4433570e+23,       25.811000,       9.8030000,   7.0424670e+18,     0.016000000,     0.087000000,     0.087000000,     0.083000000,     0.025531210,   1.4811070e+11,   0.00059468000,   0.00018537000,   1.4811070e+11,       8.0970000,   5.7653120e+11,       2.5352710,   1.4707520e+20,    0.0010000000
2010.11.07_04:48:00_TAI,   2.8198140e+22,       30.944000,       99.673000,       102.44000,       39.528000,      0.12129616,   3.3220750e+13,    0.0047090500,    0.0014477100,       1564.3800,       63.815000,   2.7641310e+12,       2480.5700,   1.4521960e+23,       26.211000,       10.167000,   6.8956700e+18,     0.016000000,     0.084000000,     0.084000000,     0.080000000,     0.024795990,   1.4516280e+11,   0.00058808000,   0.00018079000,   1.4516280e+11,       7.9690000,   5.6505800e+11,       2.4808880,   1.4523820e+20,    0.0010000000
2010.11.07_05:00:00_TAI,   2.8250650e+22,       31.189000,       98.976000,       101.69500,       39.292000,      0.15007086,   3.3142600e+13,    0.0042530900,    0.0012862000,       1551.1360,       57.344000,   3.4589640e+12,       2461.9800,   1.4577920e+23,       26.273000,       10.438000,   6.6772610e+18,     0.015000000,     0.081000000,     0.081000000,     0.077000000,     0.023741130,   1.4057640e+11,   0.00056804000,   0.00017178000,   1.4057640e+11,       7.6590000,   5.4720630e+11,       2.3924920,   1.4166470e+20,    0.0010000000
2010.11.07_05:12:00_TAI,   2.8471080e+22,       31.142000,       98.549000,       100.98500,       38.917000,      0.16217329,   3.3467900e+13,    0.0043545500,    0.0012962200,       1560.2610,       58.702000,   3.7968500e+12,       2418.4750,   1.4546110e+23,       26.193000,       10.303000,   6.5669370e+18,     0.014000000,     0.078000000,     0.078000000,     0.074000000,     0.022906730,   1.3777430e+11,   0.00055856000,   0.00016627000,   1.3777430e+11,       7.5300000,   5.3629920e+11,       2.2874180,   1.3757860e+20,    0.0010000000
2010.11.07_05:24:00_TAI,   2.8466370e+22,       30.839000,       98.883000,       101.36900,       39.034000,      0.23928365,   3.3202160e+13,    0.0040092900,    0.0011931000,       1541.0750,       53.894000,   5.5877060e+12,       2381.8120,   1.4288590e+23,       25.877000,       9.7670000,   6.3512190e+18,     0.014000000,     0.076000000,     0.076000000,     0.072000000,     0.022212810,   1.3325560e+11,   0.00054354000,   0.00016175000,   1.3325560e+11,       7.3060000,   5.1870920e+11,       2.1974280,   1.3182470e+20,    0.0010000000
2010.11.07_05:36:00_TAI,   2.8710740e+22,       30.725000,       98.200000,       100.49900,       38.764000,      0.20959955,   3.3056810e+13,    0.0038909400,    0.0011386600,       1536.1960,       52.300000,   4.9767580e+12,       2364.4910,   1.4423020e+23,       25.793000,       9.4600000,   6.2107790e+18,     0.013000000,     0.073000000,     0.073000000,     0.069000000,     0.021355870,   1.3026740e+11,   0.00053049000,   0.00015525000,   1.3026740e+11,       7.1310000,   5.0707640e+11,       2.1338520,   1.3016160e+20,    0.0020000000
2010.11.07_05:48:00_TAI,   2.8595100e+22,       30.871000,       97.499000,       99.478000,       38.433000,      0.22405846,   3.2452930e+13,    0.0047789300,    0.0013897400,       1507.3290,       63.779000,   5.3158840e+12,       2346.0220,   1.4299140e+23,       25.805000,       9.5650000,   5.9939180e+18,     0.013000000,     0.070000000,     0.070000000,     0.067000000,     0.020705060,   1.2619860e+11,   0.00051450000,   0.00014962000,   1.2619860e+11,       6.8670000,   4.9123660e+11,       2.0684890,   1.2607560e+20,    0.0020000000
2010.11.07_06:00:00_TAI,   2.8891890e+22,       30.847000,       96.111000,       98.291000,       37.833000,      0.21375175,   3.2567620e+13,    0.0033896000,   0.00096563000,       1490.7140,       45.309000,   5.1848120e+12,       2299.8080,   1.4331130e+23,       25.954000,       9.4310000,   5.9987540e+18,     0.013000000,     0.069000000,     0.069000000,     0.066000000,     0.020298280,   1.2648770e+11,   0.00050725000,   0.00014451000,   1.2648770e+11,       6.7800000,   4.9235980e+11,       2.0397800,   1.2710780e+20,    0.0010000000
2010.11.07_06:12:00_TAI,   2.8964460e+22,       31.157000,       96.053000,       98.254000,       38.093000,      0.19633223,   3.3029000e+13,    0.0032198000,   0.00091040000,       1502.8550,       43.051000,   4.7996010e+12,       2295.0350,   1.4413560e+23,       26.225000,       9.7780000,   5.9565740e+18,     0.013000000,     0.068000000,     0.068000000,     0.065000000,     0.020040190,   1.2585880e+11,   0.00050011000,   0.00014141000,   1.2585880e+11,       6.6870000,   4.8990900e+11,       2.0199380,   1.2685860e+20,    0.0010000000
2010.11.07_06:24:00_TAI,   2.9160020e+22,       30.925000,       95.416000,       97.345000,       37.990000,      0.14465678,   3.2890150e+13,    0.0024809500,   0.00069775000,       1496.1480,       33.269000,   3.5656880e+12,       2282.3470,   1.4452990e+23,       26.064000,       9.5170000,   5.9514780e+18,     0.013000000,     0.067000000,     0.067000000,     0.064000000,     0.019913630,   1.2610330e+11,   0.00049514000,   0.00013925000,   1.2610330e+11,       6.6400000,   4.9085700e+11,       1.9677950,   1.2461090e+20,    0.0010000000
2010.11.07_06:36:00_TAI,   2.9354980e+22,       30.893000,       96.037000,       98.139000,       38.485000,      0.18958072,   3.3743450e+13,    0.0031107100,   0.00087515000,       1531.6410,       41.970000,   4.7002370e+12,       2297.0960,   1.4631200e+23,       26.145000,       9.4140000,   6.0755990e+18,     0.013000000,     0.068000000,     0.068000000,     0.065000000,     0.020236710,   1.2889640e+11,   0.00050066000,   0.00014085000,   1.2889640e+11,       6.7550000,   5.0172470e+11,       2.0367130,   1.2972710e+20,    0.0010000000
2010.11.07_06:48:00_TAI,   2.9359810e+22,       30.906000,       96.509000,       98.433000,       38.884000,      0.15948249,   3.3955160e+13,    0.0025616500,   0.00072414000,       1547.1920,       34.661000,   3.9460640e+12,       2333.6980,   1.4834580e+23,       26.238000,       9.4080000,   6.0899460e+18,     0.013000000,     0.068000000,     0.068000000,     0.066000000,     0.020345330,   1.2932880e+11,   0.00050114000,   0.00014167000,   1.2932880e+11,       6.7810000,   5.0340300e+11,       1.9982680,   1.2702360e+20,    0.0010000000
2010.11.07_07:00:00_TAI,   2.9275380e+22,       31.106000,       96.304000,       98.379000,       39.126000,      0.12258318,   3.4652910e+13,    0.0019706000,   0.00055654000,       1563.8580,       26.612000,   3.0299920e+12,       2365.4800,   1.5021530e+23,       26.487000,       9.6700000,   6.1913600e+18,     0.013000000,     0.070000000,     0.070000000,     0.067000000,     0.020817240,   1.3219590e+11,   0.00050816000,   0.00014352000,   1.3219590e+11,       6.8620000,   5.1455710e+11,       2.1044890,   1.3364160e+20,    0.0010000000
2010.11.07_07:12:00_TAI,   2.9381780e+22,       31.498000,       96.196000,       98.548000,       39.123000,      0.14929095,   3.5594740e+13,    0.0023463800,   0.00065987000,       1588.0850,       31.809000,   3.7202000e+12,       2390.9450,   1.5307070e+23,       26.925000,       10.297000,   6.4328050e+18,     0.014000000,     0.072000000,     0.072000000,     0.069000000,     0.021483560,   1.3753990e+11,   0.00052605000,   0.00014794000,   1.3753990e+11,       7.1320000,   5.3535160e+11,       2.1243930,   1.3600580e+20,    0.0010000000
